NAME,APPROX_COST(FOR TWO PEOPLE) ($),RATE,DISH_LIKED,ONLINE_ORDER,BOOK_TABLE
The Bundle Co.,700,4.4 out of 5,"Burgers, Salad, Mocktails, Pasta Arrabiata, Fries, Nutella Cheesecake, Teriyaki Chicken Wings",1,0
Khazana Food Paradise,400,4.1 out of 5,"Beef Biryani, Chicken Biryani, Chicken Kebab, Mutton Biryani, Beef Kabab, Paratha, Ghee Rice",0,0
Bhagatram Sweets,300,3.6 out of 5,"Gulab Jamun, Chaat, Jalebi, Chole, Sev Puri, Rasgulla, Masala Poori",0,0
Mandarin Box,500,3.9 out of 5,"Momos, Noodles, Chop Suey",0,0
Indian Coffee House,200,4.0 out of 5,"Mutton Cutlets, Filter Coffee, Masala Dosa, Omelette, Vada, Scrambled Eggs, Hot Coffee",0,0
Amritsari Kulcha Bite,150,3.9 out of 5,"Lassi, Amritsari Kulcha, Chole",1,0
99 Pancakes,150,4.1 out of 5,Nutella Pancakes,1,0
Siddappa Hotel,150,4.1 out of 5,"Masala Dosa, Idli, Kali Dosa, Ghee Khali Dosa, Tomato Rice, Set Dosa, Ghee Rice",0,0
Lakeview Milkbar,500,4.0 out of 5,"Butterscotch Ice Cream, Sandwiches, Milk Shake, Brownie, Hot Chocolate Fudge, Vanilla Ice Cream, Burgers",0,0
eat.fit,300,4.1 out of 5,Biryani,1,1
Leon Grill,500,4.3 out of 5,"Burgers, Fries, Peri Peri Chicken, Nachos, Wings, Rolls, Tandoori Burger",1,0
Kentacky Chicken Corner,300,4.0 out of 5,"Chicken Curry, Biryani, Chilli Chicken, Fry Prawns, Chicken Kebab",0,0
Northern Route,300,4.1 out of 5,"Paratha, Paneer Pakora, Chole Bhature, Rajma Chawal, Chaach, Lassi, Buttermilk",1,0
Juice Junction,150,4.0 out of 5,"Sandwiches, Fruit Bowl, Panipuri, Corn Sandwich, Palak Paneer, Arabian Grape Juice, Cheesy Grilled Sandwich",1,0
Nisarga Garden,300,4.0 out of 5,"Akki Rottis, Rumali Roti, Masala Dosa, Vada, Raagi Roti, Rava Idli, Coffee",0,0
Shanthi Sagar,250,4.1 out of 5,"Coffee, Roti, Vada Pav",1,0
Stars 'N' Stripes,500,2.7 out of 5,"Burgers, Biryani, Cheesecake",0,0
Sri Saravana Bhavan,150,3.9 out of 5,"Filter Coffee, Idli",0,0
Koshy's,300,3.6 out of 5,Plum Cake,0,0
Hotel Fanoos,400,4.0 out of 5,"Rolls, Shawarma, Beef Roll, Chicken Shawarama, Beef Shwarma, Haleem, Chicken Roll",1,0
Desi Vdesi,250,3.9 out of 5,"Rolls, Burgers, Sandwiches, Nachos, Sweet Lassi, Fries, Methi Paratha",1,0
Haji Ali Juice Centre,350,4.0 out of 5,"Sandwiches, Rose Faluda, Pizza, Custard Apple Cream, Pav Bhaji",1,0
Domino's Pizza,800,3.9 out of 5,"Pizza, Garlic Bread",1,0
Sri Udupi Park,200,3.8 out of 5,"Vada, Idli, Kharabath, Noodles, Filter Coffee",1,0
Vishnu Sagar,400,3.0 out of 5,"Pav Bhaji, Panipuri, Chaat",0,0
Mathsya Darshini,350,3.2 out of 5,"Sea Food, Fish Fry, Fish Curry, Fish Kebab, Buttermilk, Fry Prawns, Ragi Mudde",0,0
SGS Non Veg - Gundu Pulav,400,3.9 out of 5,Chilli Chicken,1,0
Masala Oota,500,3.6 out of 5,"Donne Chicken Biryani, Akki Rottis, Roti, Mutton Chops, Chicken Curry, Vada, Coffee",1,0
Mel's Korner,500,3.8 out of 5,"Shawarma, Burgers, Beef Burger, Potato Wedges, Vegetable Noodles, Cheese Fatayer, Garlic Fries",0,0
Hotel Ajantha,200,3.9 out of 5,"Masala Dosa, Filter Coffee, Vada, Akki Rottis, Rava Dosa",0,0
Donne Biriyani Mane,400,3.5 out of 5,"Donne Biryani, Mutton Biryani",1,0
Tayabbs,500,3.7 out of 5,"Rolls, Beda Roti, Afghan Chicken, Reshmi Kebab, Chicken Tikka Roll",0,0
Kaati Zone,350,3.1 out of 5,"Rolls, Chicken Tikka Roll, Cheese Roll",1,0
Foody's,250,3.8 out of 5,"Paratha, Chaat, Masala Dosa, Pav Bhaji, Tea, Kulcha, Filter Coffee",1,0
Firewood Biryani,400,3.9 out of 5,"Hariyali Chicken, Rice Kheer, Chicken Kebab, Chicken Biryani, Firewood Biryani, Mutton Biryani, Badam Phirni",1,0
Faasos,500,3.9 out of 5,"Rolls, Veggie Wrap, Chicken Wrap, Paneer Wrap, Chole, Dal Makhani, Jal-jeera",1,0
Vasudev Adiga's,250,3.7 out of 5,"Masala Dosa, Filter Coffee",0,0
Mummy Dhaba,300,3.2 out of 5,Dal Makhani,1,0
Gundappa Donne Biryani,300,3.7 out of 5,"Mutton Biryani, Chilli Chicken, Pepper Chicken, Chicken Fry, Donne Chicken Biryani, Chicken Guntur, Chicken Kebab",0,0
Indy's Comfort Food,300,4.1 out of 5,"Gobhi Pakoda, Bajji, Raita, Ginger Tea, Jalapeno Cheese Poppers, Mojito, Chai",0,0
Sagar Chats,300,3.8 out of 5,"Pav Bhaji, Chaat, Masala Poori, Panipuri, Dahipuri, Sev Puri, Sandwiches",0,0
Rescafe,100,3.8 out of 5,"Samosa, Tea",0,0
Sweet Chariot Cafe,500,3.8 out of 5,"Chocolate Mousse, Pasta, Chocolate Cake, Lemon Tarts, Veg Burger",1,0
Hammered,"1,300",4.7 out of 5,"Crispy Corn, Sangria, Chicken Satay, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails",1,1
Eden Park,"1,100",4.1 out of 5,"Pasta, Bamboo Biryani, Noodles, Chicken Guntur, Andhra Meal, Andhra Style Biryani, Babycorn Manchurian",1,1
Pasta Street,"1,300",4.5 out of 5,"Pasta, Pizza, Garlic Bread, Wine, Salad, Salads, Ravioli",1,1
Dolci Desserts,750,4.3 out of 5,"Cappuccino, Eclair, Pizza, Coffee, Blueberry Cheesecake, Oreo Cheesecake, Tiramisu",1,0
Skylit - Citrus Hotels,"1,300",4.0 out of 5,"Gulab Jamun, Sea Food, Bruschettas, Paneer Tikka, Gajar Halwa, Shahi Tukda, Biryani",0,1
Banjara Melting Pot,"1,700",4.2 out of 5,"Lamb Curry, Cocktails, Neer Dosa, Veg Starter, Prawn Ghee Roast, Chicken Biryani, Mocktails",1,1
Shezan,600,4.1 out of 5,"Mudpie, Butter Naan, Mutton Biryani, Kulfi, Steak, Sweet Corn Soup, Beef Chilli",1,0
Infinitea Tea Room & Tea Store,"1,000",4.3 out of 5,"Tea, Momos, Tiramisu, Sandwiches, Pesto Pasta, Sandwich, Chips",1,1
Mudpipe Cafe,750,4.2 out of 5,"Sandwiches, Lemonade, Nachos, Mozzarella Sticks, Fries, Pasta, Pizza",1,0
Siddique Kabab Centre,550,3.9 out of 5,"Chicken Grill, Chicken Biryani, Rolls, Ghee Rice, Tandoori Chicken, Seekh Roll, Chicken Lollipop",1,0
Ramana's,850,4.0 out of 5,"Palak Soup, Mushroom Masala, Dal Makhani, Kebab Platter, Jal-jeera, Mushroom Soup, Roti",1,1
Thom's Bakery,200,4.1 out of 5,"Plum Cake, Burgers, Sandwiches, Donut, Mutton Samosa, Sponge Cake, Baked Bread",0,0
Red Lantern,700,3.7 out of 5,"Noodles, Phad Thai, Sweet Corn Soup, Chop Suey",1,0
Chung's Chinese Corner,700,3.3 out of 5,"Noodles, Honey Chilli Chicken, Crispy Chilli Chicken",1,0
Ta'aam,750,4.1 out of 5,"Laham Mandi, Mutton Chops, Biryani, Mutton Soup, Naan, Paneer Tikka, Jeera Rice",1,0
Zodiac - Fortune Select JP Cosmos Hotel,"1,800",3.8 out of 5,"Salads, Biryani, Chicken Salad, Lunch Buffet, Breakfast Buffet, Fish, Panipuri",1,1
One Atria Cafe,"1,600",3.7 out of 5,Friendly Staff,0,1
Maratha Darshan,400,4.0 out of 5,"Biryani, Buttermilk, Mutton Curry, Thali, Mutton Fry",0,0
Masala Central,300,3.7 out of 5,"Sandwiches, Tea, Masala Chai, Pasta, Maggi, Sandwich, Chicken Burger",1,0
Chikkanna Tiffin Room,150,4.5 out of 5,"Masala Dosa, Khali Dosa, Kali Dosa, Gini Dosa, Idli, Potato Masala, Coffee",0,0
Pai Vihar,400,3.2 out of 5,Vada,0,0
California Burrito,400,4.0 out of 5,"Nachos, California Burrito, Rice Bowl, Salads",0,0
BISO - Citrus Hotels,"1,100",3.9 out of 5,"Fish, Peas Pulao, Naan, Kulcha",0,1
Pizza Stop,600,3.9 out of 5,"Nachos, Pasta Del Barone, Cheesy Garlic Bread, Thin Crust Pizza, Oreo Milkshake, Tortilla Chips, Manali Pizza",1,0
The French Loaf,300,2.8 out of 5,"Coffee, Pasta, Sandwiches, Sunday Breakfast, Apple Pie, Hot Chocolate, Chicken Quiche",1,0
Double Decker,"1,300",4.3 out of 5,"Bbq Pizza, Pasta, Sangria, Cocktails, Mocktails, Virgin Mojito, Potato Wedges",0,1
NoLimmits Lounge and Club,"2,000",4.0 out of 5,"Salads, Chicken Bbq Wings, Sandwiches, Pasta, Biryani, Pizza, Popcorn",1,1
Fava,"1,200",4.4 out of 5,"Gnocchi, Cocktails, Pizza, Salads, Creme Brulee, Pasta, Sangria",0,1
Arbor Brewing Company,"2,000",4.5 out of 5,"Kamikaze, Long Island Iced Tea, Pizza, Hefeweizen, Craft Beer, Cocktails, Belgian Brew Beer",0,1
The Permit Room,"1,500",4.5 out of 5,"Cocktails, Chicken Curry, Beer, Watermelon Mojito, Bbq Mushroom, Kokum Sharbat, Brain Fry",0,0
ShakesBierre,"1,500",4.4 out of 5,"Cocktails, Mocktails, Pizza, Sweet Yogurt, Nachos, Karela Chaat, Burgers",0,1
The Barn - Bar & Kitchen,"1,500",4.2 out of 5,"Cocktails, Beer",0,1
Laughing Llama Gastropub,"1,600",4.3 out of 5,"Pancakes, Cocktails, Biryani, Draught Beer, Long Island Iced Tea, Nachos, Mocktails",1,1
Pecos Classic,"1,100",4.1 out of 5,"Fried Rice, Draught Beer, Beef Chilli, Chicken Curry, Fish Fingers, French Fries",0,1
Guzzlers Inn,"1,100",4.0 out of 5,"Beer, Manchurian, Kabab Platter, Chips, Lager, Chilli Chicken, Sandwiches",0,0
Le Rock,"2,000",4.0 out of 5,"Cocktails, Pizza, Murgh Platter, Draught Beer, Chicken Wings, Veg Platter, Fries",1,0
Fusion Lounge,"1,500",2.0 out of 5,"Dance Floor, Dj",0,0
The 13th Floor,"1,700",4.4 out of 5,"Cocktails, Lasagne, Martini, Mocktails, Mutton Pepper, Long Island Iced Tea, Mojito",0,1
Communiti,"1,500",4.7 out of 5,"Pizza, Cocktails, Peri Peri Chicken, Mocktails, Craft Beer, Pasta, Nachos",0,0
Skyye,"2,500",4.2 out of 5,"Cocktails, Long Island Iced Tea, Mojito, Peri Peri Chicken, Mocktails, Chicken Satay, Beer",0,1
KazÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,"3,000",4.4 out of 5,"Cocktails, Sushi, Salmon, Martini, Tempura Prawns, Chicken Gyoza, Ramen",0,1
Shiro,"3,000",4.4 out of 5,"Sushi, Dumplings, Sea Food, Chocolate Volcano, Lamb, Sunday Brunch, Chicken Yakitori",1,1
Farzi Cafe,"1,500",4.4 out of 5,"Appletini, Lamb Tacos, Cocktails, Martini, Stout, Wheat Beer, Sangria",0,0
Hard Rock Cafe,"2,500",4.5 out of 5,"Burgers, Cocktails, Legendary Hrc Burger, Nachos, Sandwiches, Bloody Mary, Mocktails",0,1
MISU,"1,700",4.6 out of 5,"Sushi, Dumplings, Khau Suey, Noodles, Cocktails, Virgin Mojito, Drunken Beef",1,1
Bangalore Brew Works,"1,700",4.2 out of 5,"Spaghetti, Wheat Beer, Cocktails, Risotto, Nachos, Gourmet Pizza, Draught Beer",0,1
Fava,"1,200",4.4 out of 5,"Gnocchi, Cocktails, Pizza, Salads, Creme Brulee, Pasta, Sangria",0,1
Soda Bottle Opener Wala,"1,300",4.4 out of 5,"Pancakes, Cocktails, Berry Pulao, Kanda Bhajiya, Brownie Chocolate, Crispy Okra, Kulfi",1,1
The Bar Stock Exchange,"1,300",4.3 out of 5,"Sangria, Chole, Cocktails, Pizza, Nachos, Noodles, Fish",0,0
The Biere Club,"1,700",4.3 out of 5,"Wheat Beer, Pizza, Cocktails, Virgin Sangria, Pork Chops, Craft Beer, Meatballs",1,1
Alchemy - The Chancery Pavilion,"2,000",4.3 out of 5,"Craft Beer, Stout, Cocktails, Chicken Wings, Brewed Beer, Mysore Pak, Cheesecake",0,1
Sanchez,"1,500",4.3 out of 5,"Nachos, Cocktails, Tacos, Prawn Taquitos, Churros, Chimichangas, Enchiladas",0,0
1Q1,"2,500",4.3 out of 5,"Cocktails, Stir Fried Noodles, Cheesecake, Jasmine Rice, Kung Pao Vegetables, Veg Sushi, Salad",0,1
RockSalt,"1,900",4.4 out of 5,"Roti, Cocktails, Chicken Biryani, Paratha, Dahi Ke Kabab, Jalebi, Chicken Tikka",1,1
Hoppipola,"1,300",4.3 out of 5,"Masala Peanuts, Cocktails, Paratha, Pizza, Pasta, Burgers, Brownie",1,0
Tree Tops Bar & Kitchen,"1,000",4.4 out of 5,"Pasta, Cocktails, Peri Peri Chicken Burger, Brownie, Jalapeno Poppers, Mocktails, Basil Pesto",0,1
Bang - The Ritz-Carlton,"3,000",4.3 out of 5,"Paneer Roll, Cocktails, Wine, Fiery Chicken, Mexican Platter, Dragon Chicken, Paneer Tikka",0,1
Easy Tiger,"1,100",4.3 out of 5,"Peri Peri Chicken, Burgers, Cocktails, Beef Steak, Draught Beer, Chicken Sandwich, Peri Fries",0,0
Capri Gastrobar,"1,200",4.3 out of 5,"Cocktails, Peri Peri Wings, Brownie, Pizza, Burgers, Mezze Platter, Fries",0,1
Bangalore Pub Exchange,"1,000",4.1 out of 5,"Pizza, Fish, Cocktails, Pasta Alfredo, Brownie Chocolate, Biryani, Rumali Roti",0,1
The Open Box,"1,400",4.2 out of 5,"Mocktails, Cocktails, Pizza, Butter Chicken Burger, Paan Ice Cream, Sangria, Margarita",1,1
Russh Gastropub,"1,100",4.2 out of 5,"Cocktails, Bruschettas, Beer, Tiramisu, Brownie, Chicken Popcorn, Nachos",0,0
20 Feet High,"1,000",4.0 out of 5,"Burgers, Mocktails, Pasta, Cocktails, Beef Steak, Lunch Buffet, Chicken Steak",1,1
Amber Rush Restobar,"1,000",4.1 out of 5,"Cocktails, Pizza, Fries, Wings, Mango Phirni, Fish Grill",0,1
Plan B,"1,200",4.2 out of 5,"Chicken Wings, Burgers, Beer, Cocktails, Mocktails, Nachos, Chips",0,0
Coconut Grove,"1,200",3.9 out of 5,"Beer, Pepper Chicken, Prawn Curry, Appam, Fry Prawns, Chicken Chettinad, Idiyappam",0,1
Smaaash,"1,500",4.2 out of 5,"Pizza, Nachos, Draught Beer, Pasta, Potli Biryani, Mojito, Long Island Iced Tea",0,1
Chin Lung Resto Bar,"1,000",3.9 out of 5,"Masala Peanuts, Beer, Chicken Lollipop, Pepper Chicken, Chilli Chicken, French Fries, Egg Bhurji",0,0
Fuel Resto Bar,"2,000",4.2 out of 5,"Cocktails, Dal Makhani, Paneer Tikka, Butter Chicken, Garlic Naan, Tequila, Fish",0,0
Bootlegger,"1,200",4.1 out of 5,"Beer, Cocktails, Beef Steak, Beef Chilli, Nachos, Pasta, Pizza",0,0
Ice - Taj MG Road Bengaluru,"2,800",4.1 out of 5,"Cocktails, Paneer Tikka, Beer",0,1
i-Bar - The Park Bangalore,"3,000",3.8 out of 5,Fish Fingers,0,0
Chugg,"1,500",3.9 out of 5,"Beer, Butter Garlic Prawns, Potato Wedges, Nachos, Pasta, Cocktails, Burgers",0,1
Scottish Pub,600,3.9 out of 5,"Wine, Beer, Chicken Pakora, Masala Corn, Pakoda, Garlic Chicken, French Fries",0,0
WYT RestroPub,"1,000",2.7 out of 5,"Tandoori Chicken, Onion Rings, Masala Peanuts, Draught Beer, Panneer Butter Masala, Cocktails",0,0
ThrowBack - Pub & Dine,"1,000",3.9 out of 5,"Cocktails, Pizza, French Fries",0,0
Downtown,"1,000",3.7 out of 5,"Beer, Pepper Chicken, Cocktails, Masala Peanuts, French Fries",0,0
The Ritz-Carlton Bar - The Ritz-Carlton,"2,000",4.0 out of 5,Decor,0,0
Slounge - Lemon Tree Premier,"1,500",4.0 out of 5,Pool Table,0,0
Aqua - The Park Bangalore,"3,000",4.0 out of 5,"Cocktails, Mai Thai, Pizza, Lemon Basil Chicken",0,1
Strikers Sports Bar and Music,"1,200",3.8 out of 5,Beer,0,1
Bar UNO - JW Marriott Bengaluru,"2,500",3.9 out of 5,"Cocktails, Pizza",0,0
Liquid Lounge - Hyatt Centric MG Road,"2,400",4.0 out of 5,Cocktails,0,1
Retro Lounge Bar,"1,400",3.8 out of 5,"Pepper Prawns, Fries, Chicken Biryani",0,1
Mighty Small,"1,200",4.1 out of 5,"Mocktails, Beer, Chips, Pizza, Salsa, Nachos, Roti",0,0
White Plate,"1,500",4.2 out of 5,"Cocktails, Tom Yum Soup, Lobster Bisque, Lobster Risotto, Pulled Pork, Lamb, Asparagus Risotto",0,1
Hammered,"1,300",4.7 out of 5,"Crispy Corn, Sangria, Chicken Satay, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails",1,1
Skylit - Citrus Hotels,"1,300",4.0 out of 5,"Gulab Jamun, Sea Food, Bruschettas, Paneer Tikka, Gajar Halwa, Shahi Tukda, Biryani",0,1
Haagen Dazs,800,3.9 out of 5,"Waffles, Chocolate Bomb, Belgium Chocolate, Chocolate Sundae, Chocolate Icecreams, Strawberry Cheesecake",1,0
Maxpresso,700,4.1 out of 5,"Burgers, Coffee, Waffles, Mocktails, Pasta, Brownie Chocolate, Chicken Salami",1,0
Haji Ali Juice Centre,350,4.0 out of 5,"Faluda, Sandwiches, Paneer Tikka Pizza, Cream Mango, Custard Apple Cream, Veg Sandwich",1,0
Cookie Man,150,4.0 out of 5,"Chocolate Chip Cookie, Brownie Chocolate",1,0
Gelato Italiano,200,3.9 out of 5,"Gelato, Madagascar Chocolate, Belgian Chocolate, Waffle Cone, New York Cheesecake",1,0
Juicy,200,3.9 out of 5,"Sandwiches, Mango Shake",0,0
Lakeview Milkbar,500,3.8 out of 5,"Burgers, Pizza, Chocolate Fudge, Caramel Cheesecake, Vanilla Ice Cream, Hot Chocolate, Thick Shakes",0,0
Bansuri Sweets,250,3.7 out of 5,"Thali, Dhokla, Chaat, Samosa, Panipuri, Jalebi, Pav Bhaji",0,0
Oh! Calcutta,"1,200",4.4 out of 5,"Fish, Curry Crab, Mocktails, Luchi, Kosha Mangsho, Sea Food, Daab Chingri",1,1
The Bar Stock Exchange,"1,300",4.3 out of 5,"Sangria, Chole, Cocktails, Pizza, Nachos, Noodles, Fish",0,0
Sunny's,"2,100",4.1 out of 5,"Penne Pasta, Pizza, Cocktails, Salads, Risotto, Sea Food, Crab Cake",0,1
The Biere Club,"1,700",4.3 out of 5,"Wheat Beer, Pizza, Cocktails, Virgin Sangria, Pork Chops, Craft Beer, Meatballs",1,1
1Q1,"2,500",4.3 out of 5,"Cocktails, Stir Fried Noodles, Cheesecake, Jasmine Rice, Kung Pao Vegetables, Veg Sushi, Salad",0,1
RockSalt,"1,900",4.4 out of 5,"Roti, Cocktails, Chicken Biryani, Paratha, Dahi Ke Kabab, Jalebi, Chicken Tikka",1,1
Mainland China,"1,700",4.5 out of 5,"Hunan Tofu, Noodles, Jumbo Prawns, Jasmine Tea, Chicken Momo, Cocktails, Momos",1,1
Tree Tops Bar & Kitchen,"1,000",4.4 out of 5,"Pasta, Cocktails, Peri Peri Chicken Burger, Brownie, Jalapeno Poppers, Mocktails, Basil Pesto",0,1
The Spice Bazaar,"1,000",4.2 out of 5,"Brownie, Mutton Seekh, Salads, Rasmalai, Tandoori Aloo, Mutton Soup, Custard",0,1
Easy Tiger,"1,100",4.3 out of 5,"Peri Peri Chicken, Burgers, Cocktails, Beef Steak, Draught Beer, Chicken Sandwich, Peri Fries",0,0
Capri Gastrobar,"1,200",4.3 out of 5,"Cocktails, Peri Peri Wings, Brownie, Pizza, Burgers, Mezze Platter, Fries",0,1
Bangalore Pub Exchange,"1,000",4.1 out of 5,"Pizza, Fish, Cocktails, Pasta Alfredo, Brownie Chocolate, Biryani, Rumali Roti",0,1
The Open Box,"1,400",4.2 out of 5,"Mocktails, Cocktails, Pizza, Butter Chicken Burger, Paan Ice Cream, Sangria, Margarita",1,1
Russh Gastropub,"1,100",4.2 out of 5,"Cocktails, Bruschettas, Beer, Tiramisu, Brownie, Chicken Popcorn, Nachos",0,0
The Rice Bowl,"1,300",4.3 out of 5,"Rice Bowl, Lamb, Chocolava, Rolls, Paneer Manchurian, Momos, Singapore Chicken",1,1
Carnival de Goa,"1,000",4.2 out of 5,"Sea Food, Spicy Crab Soup, Cocktails, Squid Fry, Prawn Curry, Lobster, Fish Curry",1,1
20 Feet High,"1,000",4.0 out of 5,"Burgers, Mocktails, Pasta, Cocktails, Beef Steak, Lunch Buffet, Chicken Steak",1,1
Amber Rush Restobar,"1,000",4.1 out of 5,"Cocktails, Pizza, Fries, Wings, Mango Phirni, Fish Grill",0,1
Coconut Grove,"1,200",3.9 out of 5,"Beer, Pepper Chicken, Prawn Curry, Appam, Fry Prawns, Chicken Chettinad, Idiyappam",0,1
Smaaash,"1,500",4.2 out of 5,"Pizza, Nachos, Draught Beer, Pasta, Potli Biryani, Mojito, Long Island Iced Tea",0,1
Riwaz - The Ritz-Carlton,"4,000",4.1 out of 5,"Tandoori Broccoli, Dal Makhani, Tamatar Ka Shorba, Kadhai Paneer, Raan, Kulfi, Biryani",0,1
The Grill House,"1,200",4.1 out of 5,"Steak, Burgers, Cocktails, Beer, Buffalo Wings, Pasta, Chicken Stroganoff",1,1
Chin Lung Resto Bar,"1,000",3.9 out of 5,"Masala Peanuts, Beer, Chicken Lollipop, Pepper Chicken, Chilli Chicken, French Fries, Egg Bhurji",0,0
Puran da Dhaba - The Pride Hotel,"1,700",4.0 out of 5,"Paneer Tikka, Biryani, Hara Bhara Kebab, Gulab Jamun, Mocktails, Roti, Fish",1,0
Ging - Royal Orchid Central,"2,000",4.3 out of 5,"Paneer Satay, Beer, Creme Brulee, Crispy Prawns",1,1
Fuel Resto Bar,"2,000",4.2 out of 5,"Cocktails, Dal Makhani, Paneer Tikka, Butter Chicken, Garlic Naan, Tequila, Fish",0,0
The Lantern Restaurant & Bar - The Ritz-Carlton...,"3,500",4.4 out of 5,"Dumplings, Momos, Chenin Blanc, Mapo Tofu, Egg Fried Rice, Noodles, Vegetarian",0,1
Bootlegger,"1,200",4.1 out of 5,"Beer, Cocktails, Beef Steak, Beef Chilli, Nachos, Pasta, Pizza",0,0
Tiger Trail - Ramada Hotel,"1,300",4.0 out of 5,"Biryani, Custard, Paratha, Poha, Breakfast Buffet, Thali, Dal Makhani",1,1
Matsuri - The Chancery Hotel,"1,800",4.4 out of 5,"Squid Rings, Udon Noodle, Miso Soup, Tempura Prawns, Sushi Platter, Fish, Egg Custard",0,1
EatWater,"1,000",4.2 out of 5,"Saffron Pilaf, Banana Chips, Cheesecake, Tender Coconut Ice Cream, Paratha, Begun Pora, Mocha Chingri",1,0
Fort Kochi,"1,800",4.1 out of 5,"Sea Food, Appam, Fish, Kerala Parotta, Sangria, Paratha, Cocktails",0,1
Chugg,"1,500",3.9 out of 5,"Beer, Butter Garlic Prawns, Potato Wedges, Nachos, Pasta, Cocktails, Burgers",0,1
Scottish Pub,600,3.9 out of 5,"Wine, Beer, Chicken Pakora, Masala Corn, Pakoda, Garlic Chicken, French Fries",0,0
WYT RestroPub,"1,000",2.7 out of 5,"Tandoori Chicken, Onion Rings, Masala Peanuts, Draught Beer, Panneer Butter Masala, Cocktails",0,0
ThrowBack - Pub & Dine,"1,000",3.9 out of 5,"Cocktails, Pizza, French Fries",0,0
South Parade - The Chancery Hotel,"1,200",3.1 out of 5,"Breakfast Buffet, Salads",0,0
Downtown,"1,000",3.7 out of 5,"Beer, Pepper Chicken, Cocktails, Masala Peanuts, French Fries",0,0
Aqua - The Park Bangalore,"3,000",4.0 out of 5,"Cocktails, Mai Thai, Pizza, Lemon Basil Chicken",0,1
Strikers Sports Bar and Music,"1,200",3.8 out of 5,Beer,0,1
Atomic Lab,"1,800",3.5 out of 5,"Cocktails, Pizza",0,0
Retro Lounge Bar,"1,400",3.8 out of 5,"Pepper Prawns, Fries, Chicken Biryani",0,1
Mighty Small,"1,200",4.1 out of 5,"Mocktails, Beer, Chips, Pizza, Salsa, Nachos, Roti",0,0
White Plate,"1,500",4.2 out of 5,"Cocktails, Tom Yum Soup, Lobster Bisque, Lobster Risotto, Pulled Pork, Lamb, Asparagus Risotto",0,1
Nandhini Paradise,800,3.6 out of 5,"Murgh Ghee Roast, Veg Thali, Chicken Chettinad, Chicken Kshatriya, Mutton Chops, Hyderabadi Biryani, Roti",0,1
Hammered,"1,300",4.7 out of 5,"Crispy Corn, Sangria, Chicken Satay, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails",1,1
Onesta,600,4.3 out of 5,"Pasta, Virgin Mojito, Mousse, Barbeque Chicken Pizza, Cappuccino, Wedges, Thin Crust Pizza",1,1
Imperio Restaurant,700,4.2 out of 5,"Hyderabadi Biryani, Chicken Kebab, Corn Paratha, Chicken Dosa, Butter Chicken, Fish, Malabari Biryani",1,1
Zaica Dine & Wine,750,3.8 out of 5,"Lemon Chicken, Egg Curry, Malai Kofta, Veg Starter, Biryani, Gajar Ka Halwa, Dal Tadka",1,1
AB's - Absolute Barbecues,"1,600",4.8 out of 5,"Mutton Roganjosh, Mutton Keema, Mutton Curry, Macaroon, Paan Ice Cream, Sea Food, Prawn",0,1
Flechazo,"1,400",4.9 out of 5,"Pizza, Mutton Kebab, Chicken Biryani, Sea Food, Chicken Dim Sum, Mutton Keema, Pasta",0,1
Ji Hazoor,"1,100",4.0 out of 5,"Chicken Salad, Mocktails, Mutton Curry, Chicken Dum Biryani, Egg Masala, Egg Salad, Karela Salad",1,1
HQ,"1,000",4.1 out of 5,"Mocktails, Pizza, Crispy Chicken, Nachos, Crispy Onion Rings, Masala Peanuts, Beer",0,1
The Terrace at Windmills Craftworks,"1,800",4.1 out of 5,"Beer, Mango Lassi, Thandai, Matka Kulfi, Salads, Palak Pakoda, Lunch Buffet",0,0
Mainland China,"1,700",4.7 out of 5,"Jumbo Prawns, Tai Pai Chicken, Singapore Noodles, Wine, Cocktails, Chicken Dim Sum, Momos",1,1
Bufferia,"1,500",4.0 out of 5,"Crispy Corn, Chicken Kebab, Mocktails, Momos, Fish, Chicken Biryani, Gulab Jamun",0,1
Kava Kitchen & Bar - Fairfield by Marriott,"1,200",3.9 out of 5,Dal Halwa,0,0
M Cafe - Bengaluru Marriott Hotel Whitefield,"2,500",4.1 out of 5,"Rasmalai, Salads, Pasta, Pizza, Mutton Biryani, Cocktails, Coffee",0,1
The Square Table,"1,000",4.2 out of 5,"Kadhai Murgh, Lassi, Rabri, Mutton Biryani, Chaat, Dal Makhani, Malpua",1,1
Marigold Fine Dine Restaurant,"1,500",4.0 out of 5,"Chicken Satay, Chicken Chettinad, Sea Food, Salads, Pumpkin Soup, Chicken Soup, Mousse",0,1
Tiffin Room - Miraya Hotel & Residences,"2,000",3.8 out of 5,"Chicken Curry, Breakfast Buffet, Pasta, Fish, Salads, Lunch Buffet, Salmon",0,1
Flavours Radha Hometel,800,3.5 out of 5,"Salads, Gulab Jamun, Breakfast Buffet, Fish, Lunch Buffet, French Toast, Chicken Wings",0,1
Zodiac,"1,500",3.6 out of 5,"Lunch Buffet, Chicken Biryani",0,0
M Bar - Bengaluru Marriott Hotel Whitefield,"2,000",3.9 out of 5,Rooftop Ambience,0,0
