GENDER,AGE,EDUCATION,JOBROLE,DEPARTMENT,DISTANCEFROMHOME (KM),ATTRITION,BUSINESSTRAVEL,MONTHLYRATE,PERFORMANCERATING,TOTALWORKINGYEARS,YEARSATCOMPANY,YEARSINCURRENTROLE,YEARSSINCELASTPROMOTION,YEARSWITHCURRMANAGER
Male,31,3,Human Resources,Human Resources,2,0,Rarely,17822,3,9,2,2,1,0
Male,45,3,Laboratory Technician,Research & Development,7,0,Frequently,20308,3,24,24,9,9,11
Male,31,4,Research Scientist,Research & Development,2,0,Rarely,7747,3,3,2,2,2,2
Female,33,4,Manager,Research & Development,5,0,Frequently,23364,3,12,10,6,8,8
Male,39,1,Manager,Research & Development,10,0,Rarely,5355,3,21,21,9,11,10
Female,43,4,Laboratory Technician,Research & Development,10,0,Frequently,10675,3,9,8,7,1,7
Female,49,2,Healthcare Representative,Research & Development,1,0,Rarely,17810,3,25,7,1,0,7
Male,52,4,Research Scientist,Research & Development,8,1,Rarely,17747,3,11,8,2,7,7
Female,27,3,Research Scientist,Research & Development,5,0,Rarely,20938,3,4,4,3,1,2
Female,32,2,Sales Executive,Sales,8,0,Rarely,24624,3,13,13,12,11,9
Male,27,3,Sales Executive,Sales,2,0,Rarely,5242,3,5,5,4,0,4
Male,31,3,Sales Executive,Sales,7,0,Rarely,7143,3,13,7,7,1,7
Female,32,4,Research Scientist,Research & Development,2,0,Rarely,10557,3,10,7,7,0,7
Male,28,4,Research Scientist,Research & Development,2,1,Rarely,24737,3,5,3,2,2,2
Female,30,2,Research Scientist,Research & Development,28,0,Rarely,11934,3,11,10,8,1,9
Female,31,2,Manufacturing Director,Research & Development,7,0,Frequently,14034,4,10,10,9,8,9
Male,39,2,Manager,Research & Development,7,0,Frequently,21141,3,21,21,9,13,3
Female,39,2,Sales Executive,Sales,3,1,Rarely,17778,3,12,1,0,0,0
Male,33,3,Sales Executive,Sales,10,0,Frequently,4317,3,9,7,7,0,1
Male,47,5,Research Director,Research & Development,5,0,Rarely,16375,3,21,3,2,1,1
Female,43,4,Laboratory Technician,Research & Development,10,0,Frequently,6227,3,9,9,7,0,0
Male,27,1,Sales Executive,Sales,1,0,Non-Travel,22107,3,6,5,4,1,4
Female,54,4,Research Scientist,Research & Development,20,0,Frequently,16885,3,20,4,3,0,3
Female,43,3,Healthcare Representative,Research & Development,7,0,Rarely,9262,3,10,1,0,0,0
Male,45,4,Research Scientist,Research & Development,8,0,Rarely,9278,3,12,10,9,9,8
Male,40,2,Sales Executive,Sales,1,0,Rarely,13273,4,6,4,3,0,2
Male,29,4,Laboratory Technician,Research & Development,8,1,Rarely,4759,3,7,7,7,0,7
Male,29,5,Laboratory Technician,Research & Development,9,0,Rarely,7621,3,4,3,2,2,2
Female,30,3,Sales Executive,Sales,5,0,Rarely,5431,3,10,10,9,1,2
Female,27,4,Sales Executive,Sales,8,0,Rarely,3415,3,8,8,7,0,7
Male,37,2,Manufacturing Director,Research & Development,5,0,Rarely,23177,3,8,6,2,0,4
Male,38,2,Research Director,Research & Development,15,0,Rarely,15682,3,12,11,10,2,9
Female,31,4,Manufacturing Director,Research & Development,7,0,Rarely,25713,3,11,11,9,4,10
Female,29,1,Sales Executive,Sales,10,0,Rarely,11866,3,7,7,7,1,7
Male,35,4,Manufacturing Director,Research & Development,5,0,Rarely,18264,3,17,16,6,0,13
Male,23,1,Research Scientist,Research & Development,26,0,Rarely,16092,3,4,4,2,0,2
Male,41,3,Manufacturing Director,Research & Development,6,0,Rarely,10110,3,8,5,4,1,2
Male,47,1,Sales Representative,Sales,4,0,Frequently,25751,3,5,0,0,0,0
Female,42,5,Research Director,Research & Development,23,0,Rarely,15901,3,16,1,0,0,0
Male,29,3,Sales Executive,Sales,2,0,Non-Travel,16928,3,4,4,3,0,2
Male,42,1,Human Resources,Human Resources,2,0,Rarely,24017,3,4,3,2,1,0
Female,32,3,Laboratory Technician,Research & Development,2,0,Rarely,3956,3,8,8,0,0,7
Female,48,1,Manager,Sales,29,0,Rarely,23978,4,15,0,0,0,0
Male,37,3,Research Scientist,Research & Development,6,0,Rarely,17001,3,13,7,7,6,7
Female,30,2,Sales Executive,Sales,25,0,Non-Travel,6069,3,4,2,2,2,2
Male,26,3,Sales Executive,Sales,1,0,Rarely,20156,3,8,8,7,7,7
Male,42,4,Healthcare Representative,Research & Development,2,0,Rarely,17078,4,14,1,0,0,0
Female,21,1,Sales Representative,Sales,1,1,Frequently,9150,3,3,3,2,1,2
Female,36,5,Sales Executive,Sales,1,0,Non-Travel,15276,3,7,1,0,0,0
Male,36,4,Sales Executive,Sales,3,0,Frequently,7246,3,16,13,9,1,12
Male,57,4,Healthcare Representative,Research & Development,1,0,Rarely,2967,3,15,3,2,1,2
Female,40,4,Laboratory Technician,Research & Development,10,0,Rarely,22495,3,10,7,7,1,7
Male,21,2,Sales Representative,Sales,9,0,Non-Travel,2851,4,3,3,2,2,2
Female,33,3,Sales Representative,Sales,5,1,Rarely,9150,3,1,1,0,0,0
Female,37,3,Laboratory Technician,Research & Development,10,0,Rarely,17663,4,17,5,4,0,3
Female,46,4,Manufacturing Director,Research & Development,7,0,Non-Travel,16044,3,7,1,0,0,0
Male,41,3,Sales Executive,Sales,4,1,Frequently,9558,3,8,8,7,7,7
Male,50,3,Healthcare Representative,Research & Development,10,0,Rarely,2755,3,20,4,3,1,3
Male,40,2,Sales Executive,Sales,22,1,Rarely,6110,3,8,6,4,1,0
Male,31,4,Research Scientist,Research & Development,9,0,Rarely,7551,3,3,2,2,2,2
Female,21,3,Sales Representative,Sales,12,1,Rarely,25422,3,1,1,0,0,0
Male,29,3,Research Scientist,Research & Development,23,0,Rarely,18168,3,6,3,2,1,2
Male,35,4,Healthcare Representative,Research & Development,9,0,Rarely,19394,3,10,1,1,0,0
Male,27,2,Laboratory Technician,Research & Development,1,0,Rarely,17881,3,5,5,2,0,4
Male,28,4,Sales Executive,Sales,9,0,Rarely,20750,3,7,7,5,0,7
Male,49,3,Healthcare Representative,Research & Development,7,0,Rarely,12066,4,26,5,2,0,0
Female,51,2,Sales Executive,Sales,14,0,Rarely,14862,3,18,7,7,0,7
Female,36,3,Research Scientist,Research & Development,2,0,Rarely,11868,3,6,2,2,2,2
Male,34,3,Sales Executive,Sales,19,1,Non-Travel,4652,3,9,5,2,0,4
Female,55,3,Manager,Research & Development,2,0,Rarely,23258,3,30,5,4,1,2
Female,24,4,Sales Executive,Sales,10,0,Rarely,5915,3,5,5,2,0,3
Male,30,1,Sales Representative,Sales,2,0,Rarely,17434,3,1,1,0,0,0
Male,26,1,Research Scientist,Research & Development,3,1,Frequently,6582,4,7,6,4,0,4
Female,22,3,Research Scientist,Research & Development,11,0,Rarely,24440,3,2,2,1,1,2
Male,36,2,Sales Executive,Sales,2,0,Rarely,3809,3,10,10,9,9,0
Male,30,3,Research Scientist,Research & Development,4,1,Frequently,3427,4,3,1,0,0,0
Female,37,3,Laboratory Technician,Research & Development,14,0,Rarely,26914,3,18,18,7,12,17
Female,40,2,Sales Executive,Sales,2,0,Rarely,22553,3,8,5,4,1,3
Female,42,4,Laboratory Technician,Research & Development,1,0,Rarely,20490,3,8,5,2,1,2
Male,37,4,Manufacturing Director,Research & Development,10,0,Rarely,21123,3,18,1,0,0,1
Male,43,3,Research Director,Research & Development,12,0,Rarely,4345,3,25,25,10,3,9
Female,40,3,Laboratory Technician,Research & Development,2,0,Rarely,13436,4,20,1,0,0,0
Male,54,2,Research Director,Research & Development,5,0,Rarely,8509,3,24,4,2,1,2
Female,34,4,Sales Executive,Sales,4,0,Non-Travel,12740,3,6,3,2,1,2
Female,31,2,Manufacturing Director,Research & Development,7,0,Rarely,4156,3,13,13,10,3,12
Male,43,3,Laboratory Technician,Research & Development,21,0,Frequently,15238,4,8,3,2,1,2
Female,43,4,Healthcare Representative,Research & Development,8,0,Rarely,2227,3,8,5,2,0,2
Female,25,2,Sales Executive,Sales,4,0,Rarely,12090,3,5,5,4,1,3
Female,37,5,Research Scientist,Research & Development,25,0,Non-Travel,23866,3,15,13,11,10,7
Male,31,2,Laboratory Technician,Research & Development,1,0,Rarely,16193,3,4,4,2,3,2
Male,39,1,Manager,Research & Development,1,0,Frequently,8213,3,21,21,8,1,6
Female,56,3,Sales Executive,Sales,6,0,Frequently,18256,3,36,7,7,7,7
Female,30,3,Sales Executive,Sales,12,0,Rarely,19558,3,6,5,4,4,4
Male,41,3,Sales Executive,Sales,1,0,Rarely,19566,3,10,10,7,0,7
Male,28,2,Laboratory Technician,Research & Development,17,0,Rarely,13535,3,10,10,0,1,8
Male,25,3,Laboratory Technician,Research & Development,3,1,Rarely,9396,3,6,2,2,0,2
Male,52,3,Manufacturing Director,Research & Development,3,0,Rarely,19609,3,28,5,4,0,4
Male,45,2,Research Scientist,Research & Development,10,0,Rarely,9655,4,8,2,2,0,2
Female,52,2,Manager,Research & Development,4,0,Rarely,10310,3,31,5,2,1,4
Female,42,2,Research Scientist,Research & Development,29,0,Frequently,12932,3,19,5,4,0,2
Female,30,3,Manufacturing Director,Research & Development,2,0,Rarely,24793,4,11,5,4,0,2
Female,60,3,Manager,Research & Development,7,0,Rarely,3854,3,33,29,8,11,10
Female,46,3,Manufacturing Director,Research & Development,18,0,Rarely,26314,3,19,10,7,0,8
Female,42,4,Healthcare Representative,Research & Development,28,0,Frequently,4386,3,7,6,5,0,4
Female,24,1,Sales Representative,Sales,1,1,Rarely,21972,3,6,5,3,1,4
Female,34,2,Sales Representative,Sales,6,1,Frequently,12253,3,3,2,2,1,0
Male,38,2,Laboratory Technician,Research & Development,2,0,Frequently,12106,4,1,1,0,0,0
Female,40,4,Manager,Sales,2,0,Rarely,13022,3,21,20,15,1,12
Female,26,3,Research Scientist,Research & Development,23,0,Rarely,3032,4,3,3,2,0,2
Male,30,3,Laboratory Technician,Research & Development,3,0,Non-Travel,16734,3,9,5,3,1,4
Male,29,4,Research Director,Research & Development,3,0,Rarely,21526,3,10,10,2,0,7
Female,29,5,Research Scientist,Research & Development,25,1,Rarely,18300,3,6,2,2,1,1
Male,19,2,Human Resources,Human Resources,2,1,Rarely,18437,3,1,1,0,0,0
Female,30,4,Sales Executive,Sales,22,0,Non-Travel,2890,3,10,9,8,7,8
Male,57,3,Manager,Sales,29,0,Rarely,22102,3,32,1,0,0,0
Male,50,4,Manager,Research & Development,29,0,Rarely,9314,3,28,27,10,15,7
Female,30,3,Laboratory Technician,Research & Development,2,0,Non-Travel,7181,3,12,11,7,6,7
Female,60,3,Sales Executive,Sales,28,0,Frequently,2845,3,22,18,13,13,11
Female,47,2,Manufacturing Director,Research & Development,2,0,Rarely,7389,3,20,5,0,0,4
Male,46,3,Research Director,Research & Development,2,0,Rarely,2288,3,26,3,2,0,1
Male,35,3,Laboratory Technician,Research & Development,22,0,Rarely,19225,3,6,5,4,4,3
Female,54,4,Laboratory Technician,Research & Development,8,0,Rarely,23428,3,19,1,0,0,0
Male,34,4,Research Scientist,Research & Development,2,0,Rarely,8416,3,14,7,3,5,7
Female,46,3,Sales Executive,Sales,10,0,Rarely,11563,3,15,3,2,1,2
Male,31,1,Manufacturing Director,Research & Development,9,0,Rarely,14394,4,13,13,8,0,8
Male,33,1,Manager,Research & Development,15,1,Rarely,24619,3,15,7,6,7,7
Male,33,1,Laboratory Technician,Research & Development,10,1,Rarely,6705,3,8,4,3,1,3
Male,30,1,Sales Representative,Sales,7,0,Rarely,18398,3,4,3,2,1,2
Male,35,3,Healthcare Representative,Research & Development,16,0,Rarely,14295,3,10,8,7,0,0
Male,31,3,Healthcare Representative,Research & Development,20,1,Frequently,22908,3,12,1,0,0,0
Female,34,3,Human Resources,Human Resources,23,1,Frequently,11533,3,11,3,2,0,2
Male,42,2,Laboratory Technician,Research & Development,5,0,Frequently,9260,3,8,2,2,2,0
Male,36,4,Sales Executive,Sales,10,0,Non-Travel,15318,3,10,10,3,9,7
Male,22,1,Laboratory Technician,Research & Development,4,1,Frequently,9129,3,4,2,2,1,2
Female,48,5,Sales Executive,Sales,2,0,Rarely,19658,3,14,9,7,6,7
Female,55,5,Manager,Sales,18,0,Rarely,9873,4,37,10,9,7,7
Male,41,2,Sales Executive,Sales,10,0,Non-Travel,13430,3,16,14,3,1,10
Male,35,3,Sales Executive,Sales,1,0,Rarely,18659,3,15,11,9,6,9
Female,40,3,Manufacturing Director,Research & Development,6,0,Rarely,20364,3,22,20,6,5,13
Female,39,1,Laboratory Technician,Research & Development,8,0,Frequently,17872,3,8,8,3,0,7
Male,31,1,Sales Executive,Sales,2,0,Rarely,8346,3,10,6,5,0,5
Male,42,3,Manufacturing Director,Research & Development,24,0,Rarely,6950,4,10,10,9,5,8
Male,45,3,Sales Executive,Sales,2,0,Rarely,16177,3,9,8,7,3,7
Female,26,4,Human Resources,Human Resources,17,1,Frequently,22808,3,8,7,7,1,0
Male,29,3,Manufacturing Director,Research & Development,19,0,Rarely,22645,3,8,3,2,1,2
Female,33,5,Research Director,Research & Development,1,0,Rarely,22578,3,10,6,1,0,5
Male,31,3,Manager,Sales,7,0,Rarely,25291,4,10,5,4,0,1
Male,18,3,Sales Representative,Sales,5,1,Frequently,8059,3,0,0,0,0,0
Male,40,3,Sales Executive,Sales,28,0,Non-Travel,11373,3,20,1,0,0,1
Female,41,4,Healthcare Representative,Research & Development,2,0,Non-Travel,2112,3,10,8,7,0,7
Male,26,2,Sales Executive,Sales,29,0,Rarely,4267,3,8,0,0,0,0
Female,35,3,Sales Executive,Sales,1,0,Rarely,6698,3,5,5,4,0,3
Male,34,4,Sales Executive,Sales,21,0,Rarely,19921,3,10,10,7,5,7
Male,26,3,Laboratory Technician,Research & Development,24,1,Rarely,23213,3,1,1,0,0,0
Female,37,3,Manufacturing Director,Research & Development,1,0,Rarely,23848,3,12,6,5,1,2
Female,46,1,Healthcare Representative,Research & Development,18,0,Frequently,8984,3,28,2,2,1,2
Female,41,5,Manager,Sales,2,0,Rarely,5626,3,22,18,16,11,8
Male,37,4,Sales Executive,Sales,9,0,Non-Travel,24666,3,9,9,5,7,7
Male,52,2,Research Scientist,Research & Development,6,0,Rarely,22087,3,18,10,9,6,9
Male,32,4,Sales Executive,Sales,11,1,Non-Travel,23914,3,6,4,2,1,2
Male,24,3,Sales Representative,Sales,24,0,Frequently,5530,3,3,2,2,2,1
Female,38,3,Healthcare Representative,Research & Development,10,0,Rarely,22174,3,18,1,0,0,0
Female,37,4,Manufacturing Director,Research & Development,1,0,Rarely,15701,3,8,6,5,4,3
Male,49,4,Research Director,Research & Development,18,0,Rarely,2125,3,31,31,9,0,9
Male,24,3,Research Scientist,Research & Development,23,0,Rarely,21630,3,6,6,5,1,4
Male,26,2,Sales Executive,Sales,28,0,Rarely,7428,4,6,5,3,1,4
Male,24,2,Laboratory Technician,Research & Development,17,0,Rarely,9100,4,1,1,0,0,0
Male,50,3,Manager,Human Resources,3,0,Frequently,7999,3,32,32,5,10,7
Male,25,1,Sales Representative,Sales,13,0,Rarely,26376,3,7,7,4,0,6
Female,24,3,Laboratory Technician,Research & Development,7,1,Frequently,14168,3,6,6,3,1,2
Male,30,4,Sales Representative,Sales,12,1,Frequently,14470,3,1,1,0,0,0
Male,34,2,Research Scientist,Research & Development,1,0,Rarely,22794,3,6,6,5,1,3
Male,31,4,Sales Executive,Sales,13,1,Rarely,11512,3,9,3,1,1,2
Male,35,2,Laboratory Technician,Research & Development,25,0,Rarely,14004,3,9,3,2,0,2
Male,31,4,Sales Executive,Sales,6,0,Rarely,6219,4,13,7,7,5,7
Female,27,4,Research Scientist,Research & Development,6,0,Rarely,5013,3,6,5,3,0,3
Male,37,3,Sales Executive,Sales,2,0,Rarely,3010,3,17,3,0,1,0
Female,20,3,Research Scientist,Research & Development,1,0,Rarely,11757,3,1,1,0,0,0
Female,42,4,Healthcare Representative,Research & Development,2,0,Rarely,5718,3,10,10,2,2,2
Male,43,4,Research Director,Research & Development,6,0,Rarely,2671,3,21,1,0,0,0
Female,38,1,Research Scientist,Research & Development,1,0,Rarely,14561,3,8,0,0,0,0
Male,43,5,Laboratory Technician,Research & Development,9,0,Frequently,19627,3,10,8,7,4,7
Female,48,4,Manager,Research & Development,1,0,Rarely,17997,3,21,3,2,0,2
Female,44,4,Human Resources,Human Resources,1,0,Rarely,26894,3,10,2,2,0,2
Female,34,3,Sales Representative,Sales,14,0,Rarely,2912,3,8,8,2,0,6
Male,27,1,Sales Representative,Sales,2,1,Rarely,16346,3,5,4,3,0,2
Male,21,1,Sales Representative,Sales,22,0,Rarely,24444,3,3,3,2,1,2
Male,44,4,Manager,Research & Development,3,0,Rarely,9358,3,26,2,2,0,1
Male,22,1,Research Scientist,Research & Development,6,0,Rarely,12145,4,3,2,2,2,2
Male,33,4,Sales Executive,Sales,8,0,Rarely,20431,3,6,5,0,1,2
Female,32,4,Research Scientist,Research & Development,9,0,Rarely,18089,3,6,6,4,0,5
Female,30,3,Research Scientist,Research & Development,3,0,Frequently,22653,4,1,1,0,0,0
Female,53,1,Sales Executive,Sales,1,0,Rarely,7507,4,18,14,7,8,10
Male,34,5,Research Scientist,Research & Development,1,0,Rarely,7660,3,10,10,9,8,8
Female,45,4,Sales Executive,Sales,26,1,Frequently,5630,3,5,1,1,0,0
Female,26,3,Laboratory Technician,Research & Development,6,0,Rarely,17759,3,3,3,2,0,2
Male,37,3,Manufacturing Director,Research & Development,3,0,Rarely,9606,3,10,10,7,7,8
Female,29,2,Sales Executive,Sales,3,0,Rarely,3487,3,6,6,0,1,2
Male,35,4,Research Scientist,Research & Development,6,0,Rarely,19368,3,17,17,11,11,8
Male,33,3,Healthcare Representative,Research & Development,6,0,Frequently,5335,4,15,13,11,4,7
Male,54,4,Human Resources,Human Resources,19,0,Rarely,6729,3,16,9,7,7,1
Male,36,2,Manufacturing Director,Research & Development,9,0,Rarely,13934,3,13,3,2,0,2
Male,27,4,Research Scientist,Research & Development,3,0,Rarely,15174,3,5,4,2,1,1
Male,20,1,Research Scientist,Research & Development,10,1,Rarely,26999,3,1,1,0,1,1
Male,33,3,Research Scientist,Research & Development,3,1,Frequently,3164,3,10,10,8,9,7
Male,35,3,Laboratory Technician,Research & Development,3,0,Non-Travel,16900,3,1,1,0,0,0
Male,23,3,Research Scientist,Research & Development,4,0,Rarely,8544,3,5,3,2,0,2
Male,25,3,Sales Executive,Sales,8,0,Rarely,15678,4,4,3,2,1,2
Female,38,4,Sales Executive,Sales,7,0,Rarely,7791,4,8,7,7,0,5
Male,29,4,Research Scientist,Research & Development,1,0,Frequently,18959,3,10,10,7,2,8
Male,48,1,Sales Executive,Sales,2,0,Rarely,18597,3,12,2,2,2,2
Female,27,1,Sales Executive,Sales,3,0,Frequently,16673,4,6,6,5,0,4
Male,37,2,Research Scientist,Research & Development,10,0,Rarely,15232,3,4,1,0,0,0
Male,50,1,Laboratory Technician,Research & Development,28,0,Rarely,3297,3,20,20,8,3,8
Female,34,3,Healthcare Representative,Research & Development,9,0,Rarely,17654,3,9,8,7,7,7
Female,24,2,Sales Executive,Sales,3,1,Rarely,24785,3,4,2,2,2,0
Female,39,4,Healthcare Representative,Research & Development,2,0,Rarely,20978,3,20,20,7,11,10
Male,32,3,Sales Executive,Sales,10,0,Rarely,21703,3,10,10,7,0,8
Male,50,2,Sales Executive,Sales,8,1,Frequently,23452,3,18,4,3,1,3
Female,38,4,Healthcare Representative,Research & Development,1,0,Rarely,19383,3,10,9,7,1,8
Female,27,2,Manufacturing Director,Research & Development,1,0,Rarely,6009,3,9,9,7,0,7
Female,32,2,Research Director,Research & Development,3,0,Rarely,19373,3,10,7,7,7,7
Male,47,4,Sales Executive,Sales,14,0,Rarely,11825,3,20,7,7,1,7
Male,40,4,Sales Executive,Sales,5,0,Frequently,23772,4,20,18,13,1,12
Male,53,3,Research Director,Research & Development,7,0,Rarely,13514,3,32,5,1,1,3
Male,41,4,Manager,Human Resources,10,0,Rarely,8861,3,23,21,6,12,6
Male,60,4,Sales Executive,Sales,16,0,Rarely,11924,3,10,2,2,2,2
Male,27,2,Manufacturing Director,Research & Development,10,0,Frequently,4809,4,9,9,7,1,7
Male,41,3,Manager,Human Resources,1,0,Rarely,19562,3,22,22,7,2,10
Male,50,4,Sales Representative,Sales,8,0,Rarely,9983,3,4,2,2,2,2
Female,28,2,Research Scientist,Research & Development,1,1,Rarely,3872,3,10,7,7,3,7
Female,36,3,Research Director,Research & Development,8,0,Non-Travel,20335,3,10,8,7,0,5
Female,38,3,Manufacturing Director,Research & Development,1,0,Rarely,15397,3,10,1,0,0,0
Male,44,3,Laboratory Technician,Research & Development,24,0,Non-Travel,2104,3,9,5,2,1,4
Female,47,3,Sales Executive,Sales,3,0,Frequently,10225,3,28,22,2,11,13
Male,30,5,Sales Executive,Sales,27,0,Rarely,25275,4,10,8,7,7,7
Male,29,3,Sales Representative,Sales,10,0,Rarely,2755,3,1,1,0,0,0
Male,42,3,Research Scientist,Research & Development,19,1,Frequently,20366,3,7,2,2,2,2
Male,43,3,Sales Executive,Sales,15,0,Frequently,23683,3,7,2,2,2,2
Female,34,2,Healthcare Representative,Research & Development,8,0,Rarely,7360,3,10,5,1,4,3
Male,23,1,Laboratory Technician,Research & Development,9,0,Rarely,4344,3,5,4,3,0,2
Female,39,3,Human Resources,Human Resources,3,0,Rarely,18767,3,12,8,3,3,6
Male,56,3,Healthcare Representative,Research & Development,9,0,Rarely,20420,3,30,10,7,1,1
Female,40,1,Research Scientist,Research & Development,2,0,Rarely,22929,4,5,4,2,2,3
Female,27,3,Healthcare Representative,Research & Development,7,0,Rarely,23398,3,9,7,6,0,7
Male,29,3,Sales Representative,Sales,10,0,Rarely,17967,3,2,2,2,2,2
Male,53,3,Laboratory Technician,Research & Development,6,0,Rarely,10919,3,19,2,2,2,2
Female,35,4,Healthcare Representative,Research & Development,2,0,Non-Travel,4761,3,16,1,0,0,0
Male,32,4,Laboratory Technician,Research & Development,24,0,Frequently,21146,3,10,10,8,4,7
Male,38,5,Research Scientist,Research & Development,2,0,Rarely,20471,3,6,1,0,0,1
Female,34,5,Manufacturing Director,Research & Development,8,0,Rarely,4187,3,7,0,0,0,0
Male,52,4,Manager,Sales,3,0,Rarely,10084,3,34,34,6,1,16
Male,33,4,Research Scientist,Research & Development,1,1,Rarely,5207,3,10,10,9,7,8
Female,25,1,Sales Executive,Sales,26,0,Rarely,22807,4,6,6,5,1,4
Male,45,2,Sales Representative,Sales,2,0,Rarely,12388,3,9,8,7,3,1
Male,23,1,Research Scientist,Research & Development,10,0,Rarely,19630,3,2,2,2,0,2
Female,47,2,Sales Executive,Sales,27,1,Frequently,10339,3,8,5,4,1,3
Male,34,3,Sales Executive,Sales,2,0,Rarely,18686,4,6,6,5,1,4
Male,55,3,Manager,Research & Development,2,1,Rarely,21199,3,24,5,2,1,4
Male,36,4,Sales Executive,Sales,8,0,Non-Travel,14229,3,10,10,7,0,9
Male,52,4,Research Scientist,Research & Development,19,0,Non-Travel,26589,3,5,4,3,1,2
Female,26,2,Laboratory Technician,Research & Development,1,0,Frequently,5288,3,5,2,2,2,0
Female,29,3,Healthcare Representative,Research & Development,27,0,Rarely,25549,3,11,8,7,1,1
Male,26,3,Sales Executive,Sales,8,1,Rarely,3064,3,6,4,3,1,2
Female,34,4,Research Scientist,Research & Development,1,0,Rarely,13551,3,10,4,2,1,3
Female,54,4,Manufacturing Director,Research & Development,19,0,Rarely,22670,3,9,5,3,1,4
Male,27,1,Sales Executive,Sales,8,0,Frequently,24008,3,5,4,2,1,1
Female,37,1,Research Scientist,Research & Development,10,0,Rarely,19905,3,6,5,3,4,3
Female,38,4,Manufacturing Director,Research & Development,2,0,Frequently,26085,3,17,15,7,4,12
Female,34,4,Research Scientist,Research & Development,2,0,Rarely,7530,3,6,6,5,1,3
Female,35,4,Sales Representative,Sales,8,0,Rarely,20317,3,3,3,2,0,2
Male,30,3,Laboratory Technician,Research & Development,1,0,Rarely,24375,4,7,2,2,0,2
Female,40,2,Healthcare Representative,Research & Development,2,0,Frequently,9931,4,8,8,7,3,7
Female,34,2,Sales Executive,Sales,8,0,Rarely,13305,3,6,3,2,1,2
Male,42,3,Manager,Research & Development,8,0,Frequently,16225,3,24,24,7,14,9
Male,23,3,Laboratory Technician,Research & Development,6,1,Rarely,3445,4,1,0,0,0,0
Male,24,3,Laboratory Technician,Research & Development,9,0,Non-Travel,26551,3,1,1,0,0,0
Female,52,4,Laboratory Technician,Research & Development,11,0,Rarely,21821,4,9,5,2,1,4
Male,50,3,Research Director,Research & Development,2,0,Rarely,6881,3,30,4,3,0,3
Female,29,2,Laboratory Technician,Research & Development,1,1,Rarely,6689,3,1,1,0,0,0
Male,33,3,Research Director,Research & Development,7,0,Rarely,25995,3,14,13,9,3,7
Female,33,3,Sales Executive,Sales,16,1,Rarely,26507,3,6,3,2,0,2
Female,47,2,Manager,Research & Development,2,0,Rarely,12982,3,26,26,14,3,0
Female,36,3,Manufacturing Director,Research & Development,1,0,Rarely,23361,3,10,9,7,0,5
Male,29,2,Research Scientist,Research & Development,23,0,Rarely,23779,4,10,10,7,0,7
Male,58,4,Research Director,Research & Development,2,1,Rarely,25761,3,40,31,15,13,8
Female,35,4,Research Scientist,Research & Development,1,0,Rarely,13301,3,7,2,2,2,2
Female,42,2,Manufacturing Director,Research & Development,1,0,Rarely,4051,3,8,4,3,0,2
Male,28,4,Research Scientist,Research & Development,2,1,Rarely,16374,3,5,2,2,2,1
Male,36,3,Human Resources,Human Resources,13,0,Rarely,25527,3,8,5,2,0,4
Female,32,3,Manufacturing Director,Research & Development,4,0,Rarely,19124,3,14,14,13,6,8
Male,40,4,Laboratory Technician,Research & Development,16,0,Frequently,11983,3,10,1,0,0,0
Female,30,3,Manufacturing Director,Research & Development,2,0,Rarely,20234,4,12,0,0,0,0
Female,45,3,Research Scientist,Research & Development,2,0,Rarely,6153,3,1,1,0,0,0
Male,42,3,Manufacturing Director,Research & Development,29,0,Rarely,11806,3,10,9,8,7,8
Male,38,3,Healthcare Representative,Research & Development,12,0,Frequently,4284,3,13,4,3,1,2
Female,34,4,Research Scientist,Research & Development,16,0,Frequently,8306,3,6,5,2,1,3
Female,49,3,Sales Executive,Sales,11,1,Rarely,5860,3,9,9,8,7,7
Male,55,1,Sales Executive,Sales,2,1,Rarely,21519,3,12,9,7,7,3
Male,43,2,Research Director,Research & Development,14,0,Rarely,5200,4,22,4,1,1,0
Male,27,1,Research Director,Research & Development,5,0,Rarely,8842,3,9,9,8,0,8
Male,35,3,Manufacturing Director,Research & Development,7,0,Rarely,18869,4,17,8,5,1,6
Female,28,4,Sales Executive,Sales,2,0,Rarely,3698,4,8,8,7,7,5
Male,34,2,Human Resources,Human Resources,3,0,Rarely,2243,3,4,3,2,0,2
Female,26,2,Research Scientist,Research & Development,5,1,Frequently,20898,3,8,8,7,1,7
Male,27,3,Research Scientist,Research & Development,3,0,Non-Travel,16571,3,0,0,0,0,0
Female,51,4,Manager,Sales,26,0,Rarely,5594,3,29,20,6,4,17
Male,44,3,Healthcare Representative,Research & Development,4,0,Rarely,5197,3,10,5,2,2,3
Male,25,1,Research Scientist,Research & Development,2,0,Rarely,21632,3,6,4,3,0,1
Male,33,3,Sales Executive,Sales,1,0,Rarely,21816,4,9,9,8,0,8
Female,35,1,Research Scientist,Research & Development,27,0,Rarely,17852,3,6,6,5,1,1
Male,36,2,Sales Executive,Sales,1,0,Rarely,2823,3,18,18,14,4,11
Male,32,4,Sales Executive,Sales,13,0,Rarely,9250,3,8,5,2,0,3
Male,30,4,Research Scientist,Research & Development,5,0,Frequently,2373,3,10,5,4,0,3
Female,53,2,Sales Executive,Sales,7,0,Rarely,20715,3,35,5,2,0,4
Male,45,3,Sales Executive,Sales,9,0,Rarely,19239,3,18,5,4,0,2
